mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
4.365,0.68,2.557,0.583,0.733,0.409,4.282,42.081,0.0
5.625,0.7190000000000001,1.473,0.428,0.639,0.379,2.917,40.354,0.0
5.621,0.75,1.311,0.395,0.5820000000000001,0.353,2.641,41.935,0.0
5.82,0.765,1.179,0.36,0.547,0.341,2.426,43.29,0.0
6.204,0.782,1.037,0.34,0.509,0.326,2.212,42.714,0.0
6.331,0.7879999999999999,1.0659999999999998,0.327,0.505,0.319,2.217,42.875,0.0
6.534,0.7959999999999999,0.8759999999999999,0.312,0.491,0.308,1.986,43.145,0.0
6.685,0.799,0.897,0.312,0.484,0.29600000000000004,1.989,42.857,0.0
6.718,0.7959999999999999,0.903,0.303,0.48,0.293,1.979,42.83,0.0
6.834,0.809,0.833,0.29600000000000004,0.464,0.28800000000000003,1.881,42.971,0.0
6.609,0.81,0.857,0.285,0.456,0.278,1.875,42.786,0.0
6.806,0.82,0.85,0.28300000000000003,0.442,0.272,1.846,42.935,0.0
6.845,0.813,0.826,0.278,0.441,0.276,1.821,43.099,0.0
6.779,0.8220000000000001,0.758,0.271,0.433,0.272,1.734,43.074,0.0
7.0379999999999985,0.8220000000000001,0.655,0.259,0.425,0.262,1.602,42.97,0.0
6.863,0.8320000000000001,0.727,0.271,0.414,0.266,1.679,43.03100000000001,0.0
6.988,0.818,0.764,0.264,0.426,0.267,1.721,42.999,0.0
6.856,0.838,0.701,0.261,0.413,0.245,1.619,42.862,0.0
6.824,0.838,0.7,0.249,0.388,0.242,1.579,42.845,0.0
6.825,0.828,0.69,0.244,0.415,0.251,1.6,42.624,0.0
7.06,0.841,0.6629999999999999,0.243,0.389,0.239,1.535,42.635,0.0
7.047999999999999,0.8440000000000001,0.628,0.24,0.386,0.246,1.499,42.205,0.0
7.151,0.828,0.6890000000000001,0.242,0.395,0.234,1.5590000000000002,42.56,0.0
7.331,0.845,0.626,0.239,0.375,0.235,1.475,42.707,0.0
7.148,0.852,0.657,0.235,0.362,0.232,1.486,42.714,0.0
7.024,0.83,0.5920000000000001,0.233,0.387,0.229,1.4409999999999998,42.89,0.0
7.144,0.841,0.601,0.231,0.377,0.237,1.446,42.815,0.0
7.131,0.848,0.6,0.215,0.365,0.224,1.404,42.855,0.0
6.999,0.851,0.574,0.222,0.362,0.231,1.389,42.625,0.0
